IND1990	IndGroup	IndustryTitle
000	NIU	NIU
010	AGRICULTURE, FORESTRY, AND FISHERIES	Agricultural production, crops
011	AGRICULTURE, FORESTRY, AND FISHERIES	Agricultural production, livestock
012	AGRICULTURE, FORESTRY, AND FISHERIES	Veterinary services
020	AGRICULTURE, FORESTRY, AND FISHERIES	Landscape and horticultural services
030	AGRICULTURE, FORESTRY, AND FISHERIES	Agricultural services, n.e.c.
031	AGRICULTURE, FORESTRY, AND FISHERIES	Forestry
032	AGRICULTURE, FORESTRY, AND FISHERIES	Fishing, hunting, and trapping
040	MINING	Metal mining
041	MINING	Coal mining
042	MINING	Oil and gas extraction
050	MINING	Nonmetallic mining and quarrying, except fuels
060	CONSTRUCTION	All construction
100	MANUFACTURING	Meat products
101	MANUFACTURING	Dairy products
102	MANUFACTURING	Canned, frozen, and preserved fruits and vegetables
110	MANUFACTURING	Grain mill products
111	MANUFACTURING	Bakery products
112	MANUFACTURING	Sugar and confectionery products
120	MANUFACTURING	Beverage industries
121	MANUFACTURING	Misc. food preparations and kindred products
122	MANUFACTURING	Food industries, n.s.
130	MANUFACTURING	Tobacco manufactures
132	MANUFACTURING	Knitting mills
140	MANUFACTURING	Dyeing and finishing textiles, except wool and knit goods
141	MANUFACTURING	Carpets and rugs
142	MANUFACTURING	Yarn, thread, and fabric mills
150	MANUFACTURING	Miscellaneous textile mill products
151	MANUFACTURING	Apparel and accessories, except knit
152	MANUFACTURING	Miscellaneous fabricated textile products
160	MANUFACTURING	Pulp, paper, and paperboard mills
161	MANUFACTURING	Miscellaneous paper and pulp products
162	MANUFACTURING	Paperboard containers and boxes
171	MANUFACTURING	Newspaper publishing and printing
172	MANUFACTURING	Printing, publishing, and allied industries, except newspapers
180	MANUFACTURING	Plastics, synthetics, and resins
181	MANUFACTURING	Drugs
182	MANUFACTURING	Soaps and cosmetics
190	MANUFACTURING	Paints, varnishes, and related products
191	MANUFACTURING	Agricultural chemicals
192	MANUFACTURING	Industrial and miscellaneous chemicals
200	MANUFACTURING	Petroleum refining
201	MANUFACTURING	Miscellaneous petroleum and coal products
210	MANUFACTURING	Tires and inner tubes
211	MANUFACTURING	Other rubber products, and plastics footwear and belting
212	MANUFACTURING	Miscellaneous plastics products
220	MANUFACTURING	Leather tanning and finishing
221	MANUFACTURING	Footwear, except rubber and plastic
222	MANUFACTURING	Leather products, except footwear
229	MANUFACTURING	Manufacturing, non-durable - allocated
230	MANUFACTURING	Logging
231	MANUFACTURING	Sawmills, planing mills, and millwork
232	MANUFACTURING	Wood buildings and mobile homes
241	MANUFACTURING	Miscellaneous wood products
242	MANUFACTURING	Furniture and fixtures
250	MANUFACTURING	Glass and glass products
251	MANUFACTURING	Cement, concrete, gypsum, and plaster products
252	MANUFACTURING	Structural clay products
261	MANUFACTURING	Pottery and related products
262	MANUFACTURING	Misc. nonmetallic mineral and stone products
270	MANUFACTURING	Blast furnaces, steelworks, rolling and finishing mills
271	MANUFACTURING	Iron and steel foundries
272	MANUFACTURING	Primary aluminum industries
280	MANUFACTURING	Other primary metal industries
281	MANUFACTURING	Cutlery, handtools, and general hardware
282	MANUFACTURING	Fabricated structural metal products
290	MANUFACTURING	Screw machine products
291	MANUFACTURING	Metal forgings and stampings
292	MANUFACTURING	Ordnance
300	MANUFACTURING	Miscellaneous fabricated metal products
301	MANUFACTURING	Metal industries, n.s.
310	MANUFACTURING	Engines and turbines
311	MANUFACTURING	Farm machinery and equipment
312	MANUFACTURING	Construction and material handling machines
320	MANUFACTURING	Metalworking machinery
321	MANUFACTURING	Office and accounting machines
322	MANUFACTURING	Computers and related equipment
331	MANUFACTURING	Machinery, except electrical, n.e.c.
332	MANUFACTURING	Machinery, n.s.
340	MANUFACTURING	Household appliances
341	MANUFACTURING	Radio, TV, and communication equipment
342	MANUFACTURING	Electrical machinery, equipment, and supplies, n.e.c.
350	MANUFACTURING	Electrical machinery, equipment, and supplies, n.s.
351	MANUFACTURING	Motor vehicles and motor vehicle equipment
352	MANUFACTURING	Aircraft and parts
360	MANUFACTURING	Ship and boat building and repairing
361	MANUFACTURING	Railroad locomotives and equipment
362	MANUFACTURING	Guided missiles, space vehicles, and parts
370	MANUFACTURING	Cycles and miscellaneous transportation equipment
371	MANUFACTURING	Scientific and controlling instruments
372	MANUFACTURING	Medical, dental, and optical instruments and supplies
