soccode	OCC	OCC_Title
11-1011	10	Chief executives 
11-1021	20	General and operations managers 
11-1031	430	Managers, all other 
11-2011	40	Advertising and promotions managers 
11-2021	50	Marketing and sales managers 
11-2022	50	Marketing and sales managers 
11-2031	60	Public relations managers 
11-3011	100	Administrative services managers 
11-3021	110	Computer and information systems managers 
11-3031	120	Financial managers 
11-3051	140	Industrial production managers 
11-3061	150	Purchasing managers 
11-3071	160	Transportation, storage, and distribution managers 
11-3111	135	Compensation and benefits managers 
11-3121	136	Human resources managers 
11-3131	137	Training and development managers 
11-9013	205	Farmers, ranchers, and other agricultural managers 
11-9021	220	Construction managers 
11-9031	230	Education administrators 
11-9032	230	Education administrators 
11-9033	230	Education administrators 
11-9039	230	Education administrators 
11-9041	300	Engineering managers 
11-9051	310	Food service managers 
11-9061	430	Managers, all other 
11-9071	330	Gaming managers 
11-9081	340	Lodging managers 
11-9111	350	Medical and health services managers 
11-9121	360	Natural sciences managers 
11-9131	430	Managers, all other 
11-9141	410	Property, real estate, and community association managers 
11-9151	420	Social and community service managers 
11-9161	425	Emergency management directors 
11-9199	430	Managers, all other 
13-1011	500	Agents and business managers of artists, performers, and athletes 
13-1020	510	Purchasing agents and buyers, farm products 
13-1020	520	Wholesale and retail buyers, except farm products 
13-1020	530	Purchasing agents, except wholesale, retail, and farm products 
13-1031	540	Claims adjusters, appraisers, examiners, and investigators 
13-1032	540	Claims adjusters, appraisers, examiners, and investigators 
13-1041	565	Compliance officers 
13-1051	600	Cost estimators 
13-1071	630	Human resource workers 
13-1074	630	Human resource workers 
13-1075	630	Human resource workers 
13-1081	700	Logisticians 
13-1111	710	Management analysts 
13-1121	725	Meeting, convention, and event planners 
13-1131	726	Fundraisers 
13-1141	640	Compensation, benefits, and job analysis specialists 
13-1151	650	Training and development specialists 
13-1161	735	Market research analysts and marketing specialists 
13-1199	740	Business operations specialists, all other 
13-2011	800	Accountants and auditors 
13-2021	810	Appraisers and assessors of real estate 
13-2031	820	Budget analysts 
13-2041	830	Credit analysts 
13-2051	840	Financial analysts 
13-2052	850	Personal financial advisors 
13-2053	860	Insurance underwriters 
13-2061	900	Financial examiners 
13-2071	910	Loan counselors and officers 
13-2072	910	Loan counselors and officers 
13-2081	930	Tax examiners, collectors, and revenue agents 
13-2082	940	Tax preparers 
13-2099	950	Financial specialists, all other 
15-1111	1005	Computer and information research scientists 
15-1121	1006	Computer systems analysts 
15-1122	1007	Information security analysts 
15-1131	1010	Computer programmers 
15-1132	1020	Software developers, applications and systems software
15-1133	1020	Software developers, applications and systems software
15-1134	1030	Web developers 
15-1141	1060	Database administrators 
15-1142	1105	Network and computer systems administrators 
15-1143	1106	Computer network architects 
15-1151	1050	Computer support specialists 
15-1152	1050	Computer support specialists 
15-1199	1107	Computer occupations, all other 
15-2011	1200	Actuaries 
15-2021	1240	Mathematicians, statisticians and miscellaneous mathematical science occupations
15-2031	1220	Operations research analysts
15-2041	1240	Mathematicians, statisticians and miscellaneous mathematical science occupations
15-2090	1240	Mathematicians, statisticians and miscellaneous mathematical science occupations
17-1011	1300	Architects, except naval 
17-1012	1300	Architects, except naval 
17-1021	1310	Surveyors, cartographers, and photogrammetrists 
17-1022	1310	Surveyors, cartographers, and photogrammetrists 
17-2011	1320	Aerospace engineers 
17-2021	1530	Engineers, all other, including agricultural 
17-2031	1340	Biomedical engineers
17-2041	1350	Chemical engineers 
17-2051	1360	Civil engineers 
17-2061	1400	Computer hardware engineers 
17-2071	1410	Electrical and electronic engineers 
17-2072	1410	Electrical and electronic engineers 
17-2081	1420	Environmental engineers 
17-2111	1430	Industrial engineers, including health and safety 
17-2112	1430	Industrial engineers, including health and safety 
17-2121	1440	Marine engineers and naval architects 
17-2131	1450	Materials engineers 
17-2141	1460	Mechanical engineers 
17-2151	1500	Mining and geological engineers, including mining safety engineers 
17-2161	1510	Nuclear engineers 
17-2171	1520	Petroleum engineers 
17-2199	1530	Engineers, all other, including agricultural 
17-3011	1540	Drafters 
17-3012	1540	Drafters 
17-3013	1540	Drafters 
17-3019	1540	Drafters 
17-3021	1550	Engineering technicians, except drafters 
17-3022	1550	Engineering technicians, except drafters 
17-3023	1550	Engineering technicians, except drafters 
17-3024	1550	Engineering technicians, except drafters 
17-3025	1550	Engineering technicians, except drafters 
17-3026	1550	Engineering technicians, except drafters 
17-3027	1550	Engineering technicians, except drafters 
17-3029	1550	Engineering technicians, except drafters 
17-3031	1560	Surveying and mapping technicians 
19-1011	1600	Agricultural and food scientists 
19-1012	1600	Agricultural and food scientists 
19-1013	1600	Agricultural and food scientists 
19-1021	1610	Biological scientists 
19-1022	1610	Biological scientists 
19-1023	1610	Biological scientists 
19-1029	1610	Biological scientists 
19-1031	1640	Conservation scientists and foresters 
19-1032	1640	Conservation scientists and foresters 
19-1041	1650	Medical scientists and life scientists, all other
19-1042	1650	Medical scientists and life scientists, all other
19-1099	1650	Medical scientists and life scientists, all other
19-2011	1700	Astronomers and physicists 
19-2012	1700	Astronomers and physicists 
19-2021	1710	Atmospheric and space scientists 
19-2031	1720	Chemists and materials scientists 
19-2032	1720	Chemists and materials scientists 
19-2041	1740	Environmental scientists and geoscientists 
19-2042	1740	Environmental scientists and geoscientists 
19-2043	1740	Environmental scientists and geoscientists 
19-2099	1760	Physical scientists, all other 
19-3011	1800	Economists 
19-3022	1860	Miscellaneous social scientists, including survey researchers and sociologists
19-3031	1820	Psychologists 
19-3032	1820	Psychologists 
19-3039	1820	Psychologists 
19-3041	1860	Miscellaneous social scientists, including survey researchers and sociologists
19-3051	1840	Urban and regional planners 
19-3091	1860	Miscellaneous social scientists, including survey researchers and sociologists
19-3092	1860	Miscellaneous social scientists, including survey researchers and sociologists
19-3093	1860	Miscellaneous social scientists, including survey researchers and sociologists
19-3094	1860	Miscellaneous social scientists, including survey researchers and sociologists
19-3099	1860	Miscellaneous social scientists, including survey researchers and sociologists
19-4011	1900	Agricultural and food science technicians 
19-4021	1910	Biological technicians 
19-4031	1920	Chemical technicians 
19-4041	1930	Geological and petroleum technicians 
19-4051	1965	Miscellaneous life, physical, and social science technicians
19-4061	1965	Miscellaneous life, physical, and social science technicians
19-4091	1965	Miscellaneous life, physical, and social science technicians
