OCC19	OCC19_Title	OCC20	OCC20_Title
50	Marketing and Sales Managers	51	Marketing Managers
50	Marketing and Sales Managers	52	Sales Managers
100	Administrative Services Managers	101	Administrative Services Managers
100	Administrative Services Managers	102	Facilities Managers
330	Gaming Managers	335	Entertainment and Recreation Managers
430	Managers, All Other	426	Personal Service Managers, All Other
430	Managers, All Other	440	Managers, All Other
740	Business Operations Specialists, All Other	705	Project Management Specialists
740	Business Operations Specialists, All Other	750	Business Operations Specialists, All Other
840	Financial Analysts	845	Financial and Investment Analysts
950	Financial Specialists, All Other	960	Other Financial Specialists
1020	Software Developers, Applications and Systems Software	1021	Software Developers
1020	Software Developers, Applications and Systems Software	1022	Software Quality Assurance Analysts and Testers
1030	Web Developers	1031	Web Developers
1030	Web Developers	1032	Web and Digital Interface Designers
1060	Database Administrators	1065	Database Administrators and Architects
1107	Computer Occupations, All Other	1108	Computer Occupations, All Other
1300	Architects, Except Naval	1305	Architects, Except Landscape and Naval
1300	Architects, Except Naval	1306	Landscape Architects
1540	Drafters	1541	Architectural and Civil Drafters
1540	Drafters	1545	Other Drafters
1550	Engineering Technicians, Except Drafters	1551	Electrical and Electronic Engineering Technologists and Technicians
1550	Engineering Technicians, Except Drafters	1555	Other Engineering Technologists and Technicians, Except Drafters
1740	Environmental Scientists and Geoscientists	1745	Environmental Scientists and Specialists, Including Health
1740	Environmental Scientists and Geoscientists	1750	Geoscientists and Hydrologists, Except Geographers
1820	Psychologists	1821	Clinical and Counseling Psychologists
1820	Psychologists	1822	School Psychologists
1820	Psychologists	1825	Other Psychologists
1930	Geological and Petroleum Technicians	1935	Environmental Science and Geoscience Technicians
1965	Miscellaneous Life, Physical, and Social Science Technicians	1970	Other Life, Physical, and Social Science Technicians
3540	Other Healthcare Practitioners and Technical Occupations	1980	Occupational Health and Safety Specialists and Technicians
2000	Counselors	2001	Substance Abuse and Behavioral Disorder Counselors
2000	Counselors	2002	Educational, Guidance, and Career Counselors and Advisors
2000	Counselors	2003	Marriage and Family Therapists
2000	Counselors	2004	Mental Health Counselors
2000	Counselors	2005	Rehabilitation Counselors
2000	Counselors	2006	Counselors, All Other
2010	Social Workers	2011	Child, Family, and School Social Workers
2010	Social Workers	2012	Healthcare Social Workers
2010	Social Workers	2013	Mental Health and Substance Abuse Social Workers
2010	Social Workers	2014	Social Workers, All Other
2160	Miscellaneous Legal Support Workers	2170	Title Examiners, Abstractors, and Searchers
2160	Miscellaneous Legal Support Workers	2180	Legal Support Workers, All Other
2200	Postsecondary Teachers	2205	Postsecondary Teachers
2340	Other Teachers and Instructors	2350	Tutors
2340	Other Teachers and Instructors	2360	Other Teachers and Instructors
2430	Librarians	2435	Librarians and Media Collections Specialists
2540	Teacher Assistants	2545	Teaching Assistants 
2550	Other Education, Training, and Library Workers	2555	Other Educational Instruction and Library Workers
2630	Designers	2631	Commercial and Industrial Designers
2630	Designers	2632	Fashion Designers
2630	Designers	2633	Floral Designers
2630	Designers	2634	Graphic Designers
2630	Designers	2635	Interior Designers
2630	Designers	2636	Merchandise Displayers and Window Trimmers
2630	Designers	2640	Other Designers
2720	Athletes, Coaches, Umpires, and Related Workers	2721	Athletes and Sports Competitors
2720	Athletes, Coaches, Umpires, and Related Workers	2722	Coaches and Scouts
2720	Athletes, Coaches, Umpires, and Related Workers	2723	Umpires, Referees, and Other Sports Officials
2750	Musicians, Singers, and Related Workers	2751	Music Directors and Composers
2750	Musicians, Singers, and Related Workers	2752	Musicians and Singers
2760	Entertainers and Performers, Sports and Related Workers, All Other	2755	Disc Jockeys, Except Radio 
2760	Entertainers and Performers, Sports and Related Workers, All Other	2770	Entertainers and Performers, Sports and Related Workers, All Other
2800	Announcers	2805	Broadcast announcers and radio disc jockeys
2860	Miscellaneous Media and Communication Workers	2861	Interpreters and Translators
2160	Miscellaneous Legal Support Workers	2862	Court Reporters and Simultaneous Captioners 
2860	Miscellaneous Media and Communication Workers	2865	Media and Communication Workers, All Other
2900	Broadcast and Sound Engineering Technicians and Radio Operators	2905	Broadcast, Sound, and Lighting Technicians
2960	Media and Communication Equipment Workers, All Other	2970	Media and Communication Equipment Workers, All Other
3060	Physicians and Surgeons	3065	Emergency Medicine Physicians
3060	Physicians and Surgeons	3070	Radiologists
3060	Physicians and Surgeons	3090	Other Physicians
3060	Physicians and Surgeons	3100	Surgeons
3540	Other Healthcare Practitioners and Technical Occupations	3120	Podiatrists
3260	Health Diagnosing and Treating Practitioners, All Other	3261	Acupuncturists
3260	Health Diagnosing and Treating Practitioners, All Other	3270	Healthcare Diagnosing or Treating Practitioners, All Other
3320	Diagnostic Related Technologists and Technicians	3321	Cardiovascular Technologists and Technicians
3320	Diagnostic Related Technologists and Technicians	3322	Diagnostic Medical Sonographers
3320	Diagnostic Related Technologists and Technicians	3323	Radiologic Technologists and Technicians
3320	Diagnostic Related Technologists and Technicians	3324	Magnetic Resonance Imaging Technologists
3320	Diagnostic Related Technologists and Technicians	3330	Nuclear Medicine Technologists and Medical Dosimetrists
3400	Emergency Medical Technicians and Paramedics	3401	Emergency Medical Technicians
3400	Emergency Medical Technicians and Paramedics	3402	Paramedics
3420	Health Practitioner Support Technologists and  Technicians	3421	Pharmacy Technicians
3420	Health Practitioner Support Technologists and  Technicians	3422	Psychiatric Technicians
3420	Health Practitioner Support Technologists and  Technicians	3423	Surgical Technologists
3420	Health Practitioner Support Technologists and  Technicians	3424	Veterinary Technologists and Technicians
3420	Health Practitioner Support Technologists and  Technicians	3430	Dietetic Technicians and Ophthalmic Medical Technicians
3510	Medical Records and Health Information Technicians	3515	Medical Records Specialists
3535	Miscellaneous Health Technologists and Technicians	3545	Miscellaneous  Health Technologists and Technicians
3540	Other Healthcare Practitioners and Technical Occupations	3550	Other Healthcare Practitioners and Technical Occupations
3600	Nursing, Psychiatric, and Home Health Aides	3601	Home Health Aides
4610	Personal Care Aides	3602	Personal Care Aides
3600	Nursing, Psychiatric, and Home Health Aides	3603	Nursing Assistants
3600	Nursing, Psychiatric, and Home Health Aides	3605	Orderlies and Psychiatric Aides
3730	First-Line Supervisors of Protective Service Workers, All Other	3725	First-Line Supervisors of Security Workers
3730	First-Line Supervisors of Protective Service Workers, All Other	3735	First-Line Supervisors of Protective Service Workers, All Other
3800	Bailiffs, Correctional Officers, and Jailers	3801	Bailiffs
3800	Bailiffs, Correctional Officers, and Jailers	3802	Correctional Officers and Jailers
3850	Police and Sheriff's Patrol Officers	3870	Police Officers
3955	Lifeguards and Other Recreational, and All Other Protective Service Workers	3946	School Bus Monitors
3955	Lifeguards and Other Recreational, and All Other Protective Service Workers	3960	Other Protective Service Workers
4050	Combined Food Preparation and Serving Workers, Including Fast Food	4055	Fast Food and Counter Workers
4130	Food Preparation and Serving Related Workers, All Other	4160	Food Preparation and Serving Related Workers, All Other
4250	Grounds Maintenance Workers	4251	Landscaping and Groundskeeping Workers
4250	Grounds Maintenance Workers	4252	Tree Trimmers and Pruners
4250	Grounds Maintenance Workers	4255	Other Grounds Maintenance Workers
4320	First-Line Supervisors of Personal Service Workers	4330	Supervisors of Personal Care and Service Workers
4410	Motion Picture Projectionists	4435	Other Entertainment Attendants and Related Workers
4460	Embalmers and Funeral Attendants	4461	Embalmers, Crematory Operators and Funeral Attendants
4520	Miscellaneous Personal Appearance Workers	4521	Manicurists and Pedicurists
4520	Miscellaneous Personal Appearance Workers	4522	Skincare Specialists
4520	Miscellaneous Personal Appearance Workers	4525	Other Personal Appearance Workers
4620	Recreation and Fitness Workers	4621	Exercise Trainers and Group Fitness Instructors
4620	Recreation and Fitness Workers	4622	Recreation Workers
4650	Personal Care and Service Workers, All Other	4655	Personal Care and Service Workers, All Other
5030	Communications Equipment Operators, All Other	5040	Communications Equipment Operators, All Other
5520	Dispatchers	5521	Public Safety Telecommunicators
5520	Dispatchers	5522	Dispatchers, Except Police, Fire, and Ambulance
5700	Secretaries and Administrative Assistants	5710	Executive Secretaries and Executive Administrative Assistants
5700	Secretaries and Administrative Assistants	5720	Legal Secretaries and Administrative Assistants
5700	Secretaries and Administrative Assistants	5730	Medical Secretaries and Administrative Assistants
5700	Secretaries and Administrative Assistants	5740	Secretaries and Administrative Assistants, Except Legal, Medical, and Executive
6100	Fishers and Related Fishing Workers	6115	Fishing and Hunting Workers
6300	Paving, Surfacing, and Tamping Equipment Operators	6305	Construction Equipment Operators
6420	Painters, Construction and Maintenance	6410	Painters and Paperhangers
6440	Pipelayers, Plumbers, Pipefitters, and Steamfitters	6441	Pipelayers
6440	Pipelayers, Plumbers, Pipefitters, and Steamfitters	6442	Plumbers, Pipefitters, and Steamfitters
6765	Miscellaneous construction and related workers, including photovoltaic installers	6540	Solar Photovoltaic Installers
9520	Dredge, Excavating, and Loading Machine Operators	6821	Excavating and Loading Machine and Dragline Operators, Surface Mining
6820	Earth Drillers, Except Oil and Gas	6825	Earth Drillers, Except Oil and Gas
6830	Explosives Workers, Ordnance Handling Experts, and Blasters	6835	Explosives Workers, Ordnance Handling Experts, and Blasters
6840	Mining Machine Operators	6850	Underground Mining Machine Operators
6940	Other Extraction Workers	6950	Other Extraction Workers
7630	Other Installation, Maintenance, and Repair Workers	7640	Other Installation, Maintenance, and Repair Workers
7900	Computer Control Programmers and Operators 	7905	Computer Numerically Controlled Tool Operatiors and Programmers 
7920	Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic	7925	Forming Machine Setters, Operators, and Tenders, Metal and Plastic
8220	Metal Workers and Plastic Workers, All Other	8025	Other Machine Tool Setters, Operators, and Tenders, Metal and Plastic 
8220	Metal Workers and Plastic Workers, All Other	8225	Other Metal Workers and Plastic Workers
8330	Shoe and Leather Workers and Repairers	8335	Shoe and Leather Workers
8400	Textile Cutting Machine Setters, Operators, and Tenders	8365	Textile Machine Setters, Operators, and Tenders
8460	Textile, Apparel, and Furnishings Workers, All Other	8465	Other Textile, Apparel, and Furnishings Workers
8550	Woodworkers, All Other	8555	Other Woodworkers
8965	Production Workers, All Other	8865	Other Production Equipment Operators and Tenders 
8965	Production Workers, All Other	8990	Other Production Workers
9000	Supervisors of Transportation and Material Moving Workers	9005	Supervisors of Transportation and Material Moving Workers
9120	Bus Drivers	9121	Bus Drivers, School
9120	Bus Drivers	9122	Bus Drivers, Transit and Intercity
9120	Bus Drivers	9141	Shuttle Drivers and Chauffeurs
9140	Taxi Drivers and Chauffeurs	9142	Taxi Drivers
9200	Locomotive Engineers and Operators	9210	Locomotive Engineers and Operators
9260	Subway, Streetcar, and Other Rail Transportation Workers 	9265	Other Rail Transportation Workers
9360	Automotive and Watercraft Service Attendants	9365	Transportation Service Attendants
9420	Other Transportation Workers	9430	Other Transportation Workers
9560	Hoist and Winch Operators	9570	Conveyor, Dredge, and Hoist and Winch Operators
5620	Stock Clerks and Order Fillers	9645	Stockers and Order Fillers
9750	Material Moving Workers, All Other	9760	Other Material Moving Workers
9820	Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members	9825	Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members
