OCC2010	OccGroup	Occupation
0010	MANAGEMENT	Chief executives and legislators/public administration
0020	MANAGEMENT	General and Operations Managers
0030	MANAGEMENT	Managers in Marketing, Advertising, and Public Relations
0100	MANAGEMENT	Administrative Services Managers
0110	MANAGEMENT	Computer and Information Systems Managers
0120	MANAGEMENT	Financial Managers
0130	MANAGEMENT	Human Resources Managers
0140	MANAGEMENT	Industrial Production Managers
0150	MANAGEMENT	Purchasing Managers
0160	MANAGEMENT	Transportation, Storage, and Distribution Managers
0205	MANAGEMENT	Farmers, Ranchers, and Other Agricultural Managers
0220	MANAGEMENT	Constructions Managers
0230	MANAGEMENT	Education Administrators
0300	MANAGEMENT	Architectural and Engineering Managers
0310	MANAGEMENT	Food Service and Lodging Managers
0320	MANAGEMENT	Funeral Directors
0330	MANAGEMENT	Gaming Managers
0350	MANAGEMENT	Medical and Health Services Managers
0360	MANAGEMENT	Natural Science Managers
0410	MANAGEMENT	Property, Real Estate, and Community Association Managers
0420	MANAGEMENT	Social and Community Service Managers
0430	MANAGEMENT	Managers, nec (including Postmasters)
0500	BUSINESS OPERATIONS SPECIALISTS	Agents and Business Managers of Artists, Performers, and Athletes
0510	BUSINESS OPERATIONS SPECIALISTS	Buyers and Purchasing Agents, Farm Products
0520	BUSINESS OPERATIONS SPECIALISTS	Wholesale and Retail Buyers, Except Farm Products
0530	BUSINESS OPERATIONS SPECIALISTS	Purchasing Agents, Except Wholesale, Retail, and Farm Products
0540	BUSINESS OPERATIONS SPECIALISTS	Claims Adjusters, Appraisers, Examiners, and Investigators
0560	BUSINESS OPERATIONS SPECIALISTS	Compliance Officers, Except Agriculture
0600	BUSINESS OPERATIONS SPECIALISTS	Cost Estimators
0620	BUSINESS OPERATIONS SPECIALISTS	Human Resources, Training, and Labor Relations Specialists
0700	BUSINESS OPERATIONS SPECIALISTS	Logisticians
0710	BUSINESS OPERATIONS SPECIALISTS	Management Analysts
0720	BUSINESS OPERATIONS SPECIALISTS	Meeting and Convention Planners
0730	BUSINESS OPERATIONS SPECIALISTS	Other Business Operations and Management Specialists
0800	FINANCIAL SPECIALISTS	Accountants and Auditors
0810	FINANCIAL SPECIALISTS	Appraisers and Assessors of Real Estate
0820	FINANCIAL SPECIALISTS	Budget Analysts
0830	FINANCIAL SPECIALISTS	Credit Analysts
0840	FINANCIAL SPECIALISTS	Financial Analysts
0850	FINANCIAL SPECIALISTS	Personal Financial Advisors
0860	FINANCIAL SPECIALISTS	Insurance Underwriters
0900	FINANCIAL SPECIALISTS	Financial Examiners
0910	FINANCIAL SPECIALISTS	Credit Counselors and Loan Officers
0930	FINANCIAL SPECIALISTS	Tax Examiners and Collectors, and Revenue Agents
0940	FINANCIAL SPECIALISTS	Tax Preparers
0950	FINANCIAL SPECIALISTS	Financial Specialists, nec
1000	COMPUTER AND MATHEMATICAL	Computer Scientists and Systems Analysts/Network systems Analysts/Web Developers
1010	COMPUTER AND MATHEMATICAL	Computer Programmers
